"No.","Time","Source","Destination","Protocol","Length","Info"
"20662","497.301119","192.168.50.1","224.0.0.1","IGMPv3","52","Membership Query, general"
"20663","499.511073","192.168.50.94","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"20664","501.264879","192.168.50.94","192.168.50.1","DNS","74","Standard query 0xe684 A discordapp.com"
"20665","501.264982","192.168.50.94","192.168.50.1","DNS","74","Standard query 0xd67e HTTPS discordapp.com"
"20666","501.296141","192.168.50.1","192.168.50.94","DNS","154","Standard query response 0xe684 A discordapp.com A 162.159.129.233 A 162.159.135.233 A 162.159.133.233 A 162.159.130.233 A 162.159.134.233"
"20667","501.301767","192.168.50.1","192.168.50.94","DNS","278","Standard query response 0xd67e HTTPS discordapp.com HTTPS A 162.159.133.233 A 162.159.130.233 A 162.159.135.233 A 162.159.129.233 A 162.159.134.233"
"20668","501.302312","192.168.50.94","162.159.129.233","QUIC","1292","Initial, DCID=60c736e0bef67554, PKN: 1, PADDING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PADDING, PING"
"20669","501.302422","192.168.50.94","162.159.129.233","QUIC","122","0-RTT, DCID=60c736e0bef67554"
"20670","501.342488","162.159.129.233","192.168.50.94","QUIC","1242","Protected Payload (KP0)"
"20671","501.342488","162.159.129.233","192.168.50.94","QUIC","94","Protected Payload (KP0)"
"20672","501.342488","162.159.129.233","192.168.50.94","QUIC","66","Protected Payload (KP0)"
"20673","501.342488","162.159.129.233","192.168.50.94","QUIC","66","Protected Payload (KP0)"
"20674","501.342488","162.159.129.233","192.168.50.94","QUIC","91","Protected Payload (KP0)"
"20675","501.342676","192.168.50.94","162.159.129.233","QUIC","132","Handshake, DCID=0184128c116b5a6aa385ad8c2c6b55e804f5982a"
"20676","501.342733","192.168.50.94","162.159.129.233","QUIC","85","Protected Payload (KP0), DCID=0184128c116b5a6aa385ad8c2c6b55e804f5982a"
"20677","501.342758","192.168.50.94","162.159.129.233","QUIC","85","Protected Payload (KP0), DCID=0184128c116b5a6aa385ad8c2c6b55e804f5982a"
"20678","501.342775","192.168.50.94","162.159.129.233","QUIC","89","Protected Payload (KP0), DCID=0184128c116b5a6aa385ad8c2c6b55e804f5982a"
"20679","501.342889","192.168.50.94","162.159.129.233","QUIC","1292","Protected Payload (KP0), DCID=0184128c116b5a6aa385ad8c2c6b55e804f5982a"
"20680","501.342909","192.168.50.94","162.159.129.233","QUIC","1286","Protected Payload (KP0), DCID=0184128c116b5a6aa385ad8c2c6b55e804f5982a"
"20681","501.342920","192.168.50.94","162.159.129.233","QUIC","1292","Protected Payload (KP0), DCID=0184128c116b5a6aa385ad8c2c6b55e804f5982a"
"20682","501.342934","192.168.50.94","162.159.129.233","QUIC","1292","Protected Payload (KP0), DCID=0184128c116b5a6aa385ad8c2c6b55e804f5982a"
"20683","501.342947","192.168.50.94","162.159.129.233","QUIC","1292","Protected Payload (KP0), DCID=0184128c116b5a6aa385ad8c2c6b55e804f5982a"
"20684","501.342959","192.168.50.94","162.159.129.233","QUIC","1292","Protected Payload (KP0), DCID=0184128c116b5a6aa385ad8c2c6b55e804f5982a"
"20685","501.342973","192.168.50.94","162.159.129.233","QUIC","1292","Protected Payload (KP0), DCID=0184128c116b5a6aa385ad8c2c6b55e804f5982a"
"20686","501.342987","192.168.50.94","162.159.129.233","QUIC","1292","Protected Payload (KP0), DCID=0184128c116b5a6aa385ad8c2c6b55e804f5982a"
"20687","501.345167","192.168.50.94","162.159.129.233","QUIC","1292","Protected Payload (KP0), DCID=0184128c116b5a6aa385ad8c2c6b55e804f5982a"
"20688","501.345202","192.168.50.94","162.159.129.233","QUIC","969","Protected Payload (KP0), DCID=0184128c116b5a6aa385ad8c2c6b55e804f5982a"
"20689","501.381131","162.159.129.233","192.168.50.94","QUIC","64","Protected Payload (KP0)"
"20690","501.388297","162.159.129.233","192.168.50.94","QUIC","70","Protected Payload (KP0)"
"20691","501.388373","192.168.50.94","162.159.129.233","QUIC","86","Protected Payload (KP0), DCID=0184128c116b5a6aa385ad8c2c6b55e804f5982a"
"20692","501.503511","162.159.129.233","192.168.50.94","QUIC","813","Protected Payload (KP0)"
"20693","501.510802","192.168.50.94","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources"
"20694","501.541851","192.168.50.94","162.159.129.233","QUIC","86","Protected Payload (KP0), DCID=0184128c116b5a6aa385ad8c2c6b55e804f5982a"
"20695","505.165768","162.159.134.234","192.168.50.94","TLSv1.2","175","Application Data"
"20696","505.165768","162.159.134.234","192.168.50.94","TLSv1.2","101","Application Data"
"20697","505.165805","192.168.50.94","162.159.134.234","TCP","54","53678  >  443 [ACK] Seq=613 Ack=10204 Win=1019 Len=0"
"20698","505.515204","162.159.134.234","192.168.50.94","TLSv1.2","208","Application Data"
"20699","505.542820","192.168.50.94","142.251.40.46","QUIC","1120","Protected Payload (KP0), DCID=e14c20cc639bfba4"
"20700","505.562377","192.168.50.94","162.159.134.234","TCP","54","53678  >  443 [ACK] Seq=613 Ack=10358 Win=1023 Len=0"
"20701","505.606845","142.251.40.46","192.168.50.94","QUIC","70","Protected Payload (KP0)"
"20702","505.615287","142.251.40.46","192.168.50.94","QUIC","110","Protected Payload (KP0)"
"20703","505.615287","142.251.40.46","192.168.50.94","QUIC","63","Protected Payload (KP0)"
"20704","505.615373","192.168.50.94","142.251.40.46","QUIC","77","Protected Payload (KP0), DCID=e14c20cc639bfba4"
"20705","505.644058","192.168.50.94","142.251.40.46","QUIC","74","Protected Payload (KP0), DCID=e14c20cc639bfba4"
"20706","505.679295","142.251.40.46","192.168.50.94","QUIC","66","Protected Payload (KP0)"
"20707","506.310942","ASUSTekCOMPU_1b:2a:88","CloudNetwork_9c:1a:45","ARP","52","Who has 192.168.50.94? Tell 192.168.50.1"
"20708","506.310958","CloudNetwork_9c:1a:45","ASUSTekCOMPU_1b:2a:88","ARP","42","192.168.50.94 is at d8:80:83:9c:1a:45"
"20709","510.299537","162.159.134.234","192.168.50.94","TLSv1.2","120","Application Data"
"20710","510.340511","192.168.50.94","162.159.134.234","TCP","54","53678  >  443 [ACK] Seq=613 Ack=10424 Win=1023 Len=0"
"20711","514.840676","192.168.50.94","162.254.195.69","TLSv1.2","113","Application Data"
"20712","514.879303","162.254.195.69","192.168.50.94","TCP","60","27018  >  53705 [ACK] Seq=205 Ack=1189 Win=7917 Len=0"
"20713","516.843677","192.168.50.94","173.194.25.39","QUIC","1287","Protected Payload (KP0), DCID=f7e510e85da62677"
"20714","516.843724","192.168.50.94","173.194.25.39","QUIC","1292","Protected Payload (KP0), DCID=f7e510e85da62677"
"20715","516.843737","192.168.50.94","173.194.25.39","QUIC","866","Protected Payload (KP0), DCID=f7e510e85da62677"
"20716","516.883768","173.194.25.39","192.168.50.94","QUIC","177","Protected Payload (KP0)"
"20717","516.883768","173.194.25.39","192.168.50.94","QUIC","1287","Protected Payload (KP0)"
"20718","516.883768","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20719","516.883768","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20720","516.883768","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20721","516.883768","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20722","516.883768","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20723","516.883768","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20724","516.883768","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20725","516.883768","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20726","516.883768","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20727","516.883768","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20728","516.884073","192.168.50.94","173.194.25.39","QUIC","80","Protected Payload (KP0), DCID=f7e510e85da62677"
"20729","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20730","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20731","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20732","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20733","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20734","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20735","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20736","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20737","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20738","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20739","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20740","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20741","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
